Term Amount,Add Array Memory,Add Array Time,Add List Memory,Add List Time,Generate Array Memory,Generate Array Time,Generate List Memory,Generate List Time,Multiply Array Memory,Multiply Array Time,Multiply List Memory,Multiply List Time,Process Array Memory,Process Array Time,Process List Memory,Process List Time
Term Amount,Array,Array,List,List,Array,Array,List,List,Array,Array,List,List,Array,Array,List,List
390,37664,0.092,49984,0.135,6240,0.018,12480,0.047,4599088,27.124,4993136,25.961,0,0.023,0,0.028
390,37664,0.092,49984,0.132,6240,0.014,12480,0.047,4599088,20.259,4993136,22.526,0,0.023,0,0.023
390,37664,0.104,49984,0.128,6240,0.013,12480,0.053,4599088,20.302,4993136,23.032,0,0.024,0,0.023
390,37664,0.09,49984,0.138,6240,0.014,12480,0.049,4599088,20.916,4993136,22.87,0,0.023,0,0.024
390,37664,0.091,49984,0.133,6240,0.013,12480,0.047,4599088,20.247,4993136,26.802,0,0.023,0,0.027
400,38368,0.101,50880,0.146,6400,0.014,12800,0.048,4640048,24.619,4993136,24.218,0,0.024,0,0.029
400,38368,0.094,50880,0.131,6400,0.014,12800,0.049,4640048,21.207,4993136,25.971,0,0.023,0,0.029
400,38368,0.094,50880,0.129,6400,0.014,12800,0.053,4640048,20.491,4993136,23.089,0,0.029,0,0.024
400,38368,0.094,50880,0.135,6400,0.014,12800,0.054,4640048,21,4993136,27.5,0,0.024,0,0.024
400,38368,0.098,50880,0.129,6400,0.013,12800,0.048,4640048,28.387,4993136,23.446,0,0.024,0,0.024
410,39704,0.096,52568,0.153,6560,0.015,13120,0.049,4681008,21.467,4993136,26.174,0,0.025,0,0.03
410,39704,0.095,52568,0.14,6560,0.014,13120,0.05,4681008,24.939,4993136,25.105,0,0.024,0,0.025
410,39704,0.1,52568,0.143,6560,0.014,13120,0.049,4681008,22.479,4993136,29.755,0,0.024,0,0.029
410,39704,0.1,52568,0.136,6560,0.014,13120,0.05,4681008,25.409,4993136,25.483,0,0.024,0,0.025
410,39704,0.095,52568,0.141,6560,0.015,13120,0.06,4681008,23.384,4993136,23.804,0,0.03,0,0.025
420,40408,0.098,53464,0.149,6720,0.016,13440,0.061,4967024,22.323,5400560,25.467,0,0.025,0,0.029
420,40408,0.104,53464,0.145,6720,0.015,13440,0.055,4967024,22.666,5400560,29.332,0,0.025,0,0.027
420,40408,0.103,53464,0.14,6720,0.014,13440,0.05,4967024,20.698,5400560,25.649,0,0.025,0,0.025
420,40408,0.098,53464,0.148,6720,0.015,13440,0.05,4967024,24.326,5400560,25.517,0,0.025,0,0.025
